HOUR_LU | PLAN_OB | CUMM_OB | PLAN_CH | CUMM_CH
     06 |      2,530 |      2,530 |        897 |        897
     07 |      2,609 |      5,139 |        925 |      1,823
     08 |      2,609 |      7,747 |        925 |      2,748
     09 |      2,609 |     10,356 |        925 |      3,673
     10 |      2,609 |     12,964 |        925 |      4,598
     11 |      2,609 |     15,573 |        925 |      5,523
     12 |          0 |     15,573 |          0 |      5,523
     13 |      2,609 |     18,181 |        925 |      6,448
     14 |      2,609 |     20,790 |        925 |      7,374
     15 |      2,348 |     23,138 |        833 |      8,206
     16 |      2,609 |     25,746 |        925 |      9,131
     17 |      2,609 |     28,355 |        897 |     10,029
     18 |      2,530 |     30,885 |        897 |     10,926
     19 |      2,609 |     33,494 |        925 |     11,851
     20 |      2,609 |     36,102 |        925 |     12,777
     21 |      2,609 |     38,711 |        925 |     13,702
     22 |      2,609 |     41,319 |        925 |     14,627
     23 |      2,609 |     43,928 |        925 |     15,552
     O0 |          0 |     43,928 |          0 |     15,552
     O1 |      2,609 |     46,536 |        925 |     16,477
     O2 |      2,609 |     49,145 |        925 |     17,403
     O3 |      2,609 |     51,753 |        925 |     18,328
     O4 |      2,348 |     54,101 |        833 |     19,160
     O5 |      2,609 |     56,710 |        897 |     20,058
     O6 |          0 |     56,710 |          0 |     20,058
